,amount,weight
Treasury Ladder,62500.0,0.125
PLTR,48735.0,0.09747
COST,42750.0,0.0855
HASI,39716.89396481925,0.07943378792963851
VEA,29069.99999999995,0.0581399999999999
DUK,28683.106035180812,0.057366212070361626
FSLR,24799.040684761647,0.049598081369523296
ESGE,11538.45931523839,0.02307691863047678
Cash Reserve,10000.0,0.02
JBGS,8550.000000000047,0.017100000000000094
NEE,8550.000000000018,0.017100000000000035
ICLN,8550.000000000002,0.017100000000000004
ARE,8550.0,0.0171
SRE,8550.0,0.0171
BMY,8550.0,0.0171
PG,8550.0,0.0171
BEP,7267.500000000011,0.014535000000000022
AVGO,6497.999999999955,0.01299599999999991
CYBR,4873.5000000000855,0.00974700000000017
DDOG,4873.500000000071,0.009747000000000143
CEG,4873.500000000061,0.009747000000000122
SPG,4873.500000000061,0.009747000000000122
ISRG,4873.500000000058,0.009747000000000117
AEP,4873.500000000046,0.009747000000000092
CRH,4873.50000000003,0.00974700000000006
AMD,4873.500000000028,0.009747000000000056
NXT,4873.500000000021,0.009747000000000042
WMT,4873.500000000016,0.009747000000000033
VRTX,4873.500000000011,0.009747000000000021
ABT,4873.500000000006,0.009747000000000013
IEMG,4873.5,0.009747
CRWD,4873.5,0.009747
GOOG,4873.5,0.009747
TYL,4873.5,0.009747
XYL,4873.5,0.009747
NLR,4873.5,0.009747
NVDA,4873.5,0.009747
NET,4873.5,0.009747
AAPL,4873.5,0.009747
GRMN,4873.5,0.009747
