,amount,weight
Treasury Ladder,62500.0,0.125
COST,26932.500000000004,0.05386500000000001
AVGO,26932.5,0.053865
WMT,26932.49999999998,0.05386499999999996
JPM,26932.499999999975,0.05386499999999995
VST,26932.49999999996,0.05386499999999992
CRWD,23939.999999999964,0.04787999999999993
VTI,19237.499999999905,0.03847499999999981
CRH,14107.499999999998,0.028214999999999997
NLR,14107.499999999996,0.028214999999999994
TT,12825.000000000004,0.025650000000000006
CEG,11970.000000000025,0.02394000000000005
GOOG,11970.000000000016,0.023940000000000034
AAPL,11970.000000000004,0.023940000000000006
NVDA,11970.000000000002,0.023940000000000003
ISRG,11970.0,0.02394
EXPE,11970.0,0.02394
XLF,11542.500000000062,0.023085000000000123
VO,11542.500000000036,0.023085000000000074
VEA,11542.50000000003,0.023085000000000057
MRK,11542.50000000002,0.02308500000000004
DUK,11542.500000000005,0.023085000000000012
PG,11542.5,0.023085
ABT,11542.5,0.023085
O,11542.5,0.023085
Cash Reserve,10000.0,0.02
ECL,7695.000000000005,0.01539000000000001
XYL,7695.0,0.01539
ICLN,7695.0,0.01539
