ticker,annualized_return,volatility,sharpe_ratio,sortino_ratio,max_drawdown,cvar_95,beta,tail_ratio,rolling_correlation_std,liquidity_score,roe,expense_ratio,quality_score,dividend_yield,pe_ratio,sector,industry,is_etf,esg_score
AAPL,0.25343,0.26130,0.84412,1.20057,-0.33361,-0.03669,1.18055,1.03949,0.13499,14585424898.85,1.71422,0.0000,1.71422,0.36,38.03882,Technology,Consumer Electronics,False,18.88
NET,0.67941,0.55216,1.14599,1.73419,-0.44997,-0.07209,1.93587,1.19697,0.13455,561567900.15,-0.08882,0.0000,-0.08882,0.00,237.61629,Technology,Software - Infrastructure,False,26.96
NVDA,1.21476,0.50823,1.74532,2.78649,-0.36881,-0.06417,2.09672,1.19777,0.10373,34513618591.71,1.07359,0.0000,1.07359,0.02,44.45297,Technology,Semiconductors,False,13.43
ESGE,0.15333,0.16609,0.70303,1.05796,-0.16711,-0.02211,0.71803,1.08333,0.10940,25019355.49,,0.1800,0.82000,2.14,,Unknown,Unknown,True,20.74
ICLN,-0.06131,0.24038,-0.31256,-0.49043,-0.49011,-0.03253,0.77294,1.02615,0.17039,60986300.32,,0.4000,0.60000,1.64,,Unknown,Unknown,True,23.56
OKLO,1.14230,1.01939,1.22645,1.75739,-0.69336,-0.12106,1.75835,1.56364,0.17854,1911921778.00,-0.10425,0.0000,-0.10425,0.00,-247.66667,Utilities,Utilities - Independent Power Producers,False,22.51
NLR,0.37275,0.29744,1.08368,1.63945,-0.30475,-0.03957,0.99319,1.10896,0.11141,100534254.60,,0.4500,0.55000,0.45,,Unknown,Unknown,True,22.51
VEA,0.16411,0.14440,0.85019,1.22768,-0.13453,-0.01928,0.72192,0.99841,0.07731,779971466.82,,0.0500,0.95000,2.80,,Unknown,Unknown,True,13.43
NXT,0.45121,0.58911,0.85113,1.66413,-0.48612,-0.06589,1.11864,1.52946,0.16010,201038495.52,0.35449,0.0000,0.35449,0.00,22.50777,Technology,Solar,False,19.82
NEE,0.02876,0.27205,0.09320,0.12040,-0.42280,-0.04306,0.43724,0.84662,0.15393,838319985.35,0.08236,0.0000,0.08236,2.67,26.96825,Utilities,Utilities - Regulated Electric,False,21.82
XYL,0.09247,0.23150,0.32512,0.43937,-0.28733,-0.03436,0.91316,0.94300,0.12767,184158587.01,0.08555,0.0000,0.08555,1.15,36.40568,Industrials,Specialty Industrial Machinery,False,21.46
CRH,0.48261,0.28967,1.37158,2.25241,-0.27006,-0.03687,1.18714,1.19118,0.11415,460949673.36,0.14487,0.0000,0.14487,1.22,24.22355,Basic Materials,Building Materials,False,19.51
